beautiful beautyful butiful
believe beleive belive
schedule scedule shedule skedule
through throug throgh thrugh
balloon ballon baloon
where wher
this ths
joaquin waquin joquin wakeen
mississippi missippi missisippi mississipi misissippi misissipi
egg eg
viable vyable
receive recieve
accommodate accomodate
accommodation accomodation
achieve acheive
across accross
aggressive agressive
aggression agression
apparently apparantly
appearance appearence
argument arguement
assassination assasination
basically basicly
beginning begining
bizarre bizzare
business buisness
calendar calender
Caribbean Carribean
cemetery cemetary
chauffeur chauffer
colleague collegue
coming comming
committee commitee
completely completly
conscious concious
curiosity curiousity
definitely definately
dilemma dilemna
disappear dissapear
disappoint dissapoint
ecstasy ecstacy
embarrass embarass
environment enviroment
existence existance
Fahrenheit Farenheit
familiar familar
finally finaly
fluorescent florescent
foreign foriegn
foreseeable forseeable
forty fourty
forward foward
friend freind
further futher
gist jist
glamorous glamourous
government goverment
guard gaurd
happened happend
harass harrass 
harassment harrassment
honorary honourary
humorous humourous
idiosyncrasy idiosyncracy
immediately immediatly
incidentally incidently
independent independant
interrupt interupt
irresistible irresistable
knowledge knowlege
liaise liase
liaison liason
lollipop lollypop
millennium millenium
millennia millenia
Neanderthal Neandertal
necessary neccessary
noticeable noticable
occasion ocassion occassion
occurred occured
occurring occuring
occurrence occurance occurence
pavilion pavillion
persistent persistant
pharaoh pharoah
piece peice
politician politican
Portuguese Portugese
possession posession
preferred prefered
preferring prefering
propaganda propoganda
publicly publically
really realy
referred refered
referring refering
religious religous
remember rember remeber
resistance resistence
sense sence
separate seperate
siege seige
successful succesful
supersede supercede
surprise suprise
tattoo tatoo
tendency tendancy
therefore therefor
threshold threshhold
tomorrow tommorow tommorrow
tongue tounge
truly truely
unforeseen unforseen
unfortunately unfortunatly
until untill
weird wierd
wherever whereever
which wich
